,Number of Comments,Number of Like,Caption,Post URL
0,2,23,"👉🏼 Este domingo festejamos el #DiaDelPadre todos juntos 👨‍👩‍👦‍👦 en familia! .
Sintoniza el Domingol ⚽️ a las 22Hs para cerrar la semana con música y amigos 🎼🔊
.
#Vivo #Live #Rock #RockMestizo #IG #10Años",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/103675129_559274011404581_8614035291221547149_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=stI93bjatygAX96TntW&oh=3b7efbf61b793aa733ae7c4062003a5d&oe=5F141031
1,4,37,"El es @suarezgastii marcando el ritmo y llevando esos pasos a nuestros pies, ordenando las melodías logramos salir tocando 👌🏽🎉 .
Especial #10Años de @SantoPlacard",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/104650164_113929443692485_6324051425649306417_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=aidweyU1mtIAX_GEi7a&oh=61f08880d56622d5e607d94139a706f0&oe=5F16137A
2,2,34,"El es nuestro 8️⃣, nuestro trombón 🎺. El es @nicolaschanin , sus 🎼 armonías desbordan por las bandas mandando ese centro Perfecto 👌🏽 para darle ese toque a la canción y que suene el GOL ⚽️ !! . Especial #10Años de @SantoPlacard",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/102829071_583346712592475_3302882162235642919_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=YB6Jzq8cNq8AX-gAIJy&oh=5e38066f75c219eef9d2cbf61e02474b&oe=5F151FD1
3,1,24,"👉🏼 Este jueves sintoniza 📲@santoplacard a las 22Hs. 🎉 Nuestro invitados son @saladosbanda 🎼 y @lalolugo8 👦🏻 de @raices_centro_cultural .
⚠️ Sorteos, charlas, novedades y más.... Te esperamos, no te lo pierdas❗️",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/102902899_284038586054756_436520769625682317_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=8APzCLUSbQcAX_kMu4Y&oh=79f5394d902ffdf11bac0b8d84863394&oe=5F1446B2
4,2,29,"Nuestro Mediocampista ⚽️ izquierdo y socio de las cuerdas 🎸. @maxxstreuli , guitarrista, encargado de los toques de primera ⭐️ y los desbordes por la banda 🥂. #HablandoDeFutbol no? .
Especial #10Años de @SantoPlacard
.
#Musica #Rock #Aniversario",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/101805780_590010994952720_1388038061609367080_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=-qSu_9glQxUAX-CGh42&oh=1a4287c6f77993fe8f8861153cc7cb3b&oe=5F14DC66
5,0,32,"Este jueves a las 22Hs 🔊 sintoniza @SantoPlacard y participa para ganarte un disco 💿🥳 de SP 🥁 #10AñosSantoPlacard .
.
Esta semana nos acompañan 🧔🏻@diegoconcla1 y 🎼 @arseniolupinradio , con la conducción estelar de @mariobaldebenitez 🧑🏽‍🦱.
.
#Rock #RockMestizo #Show #10Años #Igtv #vivo #Live",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/101285656_1261103660729812_7045761796986231936_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=BkND5mfzw0wAX-0Wyfx&oh=e6a9a51606bda4e5c3aff7775180513f&oe=5F174D63
6,2,45,"🥁 AU9USTO, el extremo ⚽️ del equipo, llevando el ritmo a sus corazones 💕. Mezclando su fuerza y groove, domina tu mente y te saca a bailar🕺🏻💃 #Ole .
Especial #10Años de @SantoPlacard",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/101049635_3197235823675704_6052815893822342077_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=9Jh1dP2nH5YAX_QwVyO&oh=e293fa551a3e96329132ee1aadf54871&oe=5F1526B9
7,1,26,"Que jugada planea @santoplacard para los #10Años ? 🔥
.
Este jueves pospusimos el vivo semanal 👉🏼 porque el viernes a las 23Hs Arg, 21Hs Col. nos entrevistan los chicos de @look_col ! ❤️ Sintonicen, los estaremos esperando! 🙏🏻",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/100677938_115680249923927_6314236116751986526_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=5cIKUgszttEAX_tDyLv&oh=684457b4ac18d43b88a3eaee9d2706f5&oe=5F16933E
8,0,53,"El es @mariobaldebenitez 🧑🏽‍🦱 o Mar🔟 Es nuestro enganche, desde hostear los 📲 vivos en Instagram, hasta ser el frontman 🎙 de este hermosa formación.
⭐️ Especial de #10Años de Santo Placard.
.
#rockmestizo #rock #10años #cumpleaños #sanmiguel",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/99419591_599974517540479_7340399926012185952_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=nGdu0T92SSsAX8O6XUm&oh=eeea982834e005b75ee8e4329a199e03&oe=5F13C74F
9,0,41,"Este jueves hay SORTEO🎉 ⚡️Sintoniza a las 22Hs para ganarte unas terribles hamburguesas de nuestros amigos de @berro.burgers 🍔.
.
Tenemos más invitados en camino🔥 NO TE LO PIERDAS 🔥
.
Jueves 21/5 a las 22Hs por @santoplacard .
#vivo #instagram #sorteo #10Años #trivia",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/98173439_524444738251368_3480142583747053406_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=aHxhdFWngHsAX9S5IXz&oh=9b0caadf9c909355818452480d27d99d&oe=5F164985
10,2,41,"#TBT una de cuando tocamos en #TheRoxy . .
➡️ Hoy 22Hs sintonicen ⚡️ nuestro canal para disfrutar del vivo hosteado por 🧑🏽‍🦱@mariobaldebenitez nuestro 10! .
#rock #rockmestizo #santoplacard #10años #cumpleaños #Años #aniversario",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/98065450_1421313784713849_5844542759612711980_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=MGJdLmnN7TgAX_gNsJj&oh=8c7e67c91c7b8edbb2ac8c0ba5266843&oe=5F146ABB
11,0,34,"👉🏼Este jueves una vez más sintoniza 📲 @santoplacard a las 22Hs como todas las semanas!
Con la conducción estelar de 🧑🏽‍🦱@mariobaldebenitez ! .
#rock #rockmestizo #vivo #insta #radio #show #talkshow",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/96413594_2594052474177513_2492064780233664290_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=k6G0qc_kmz8AX-LU-mp&oh=1910f8e70f83a7602bbeeb696be31d8b&oe=5EEE8425
